Seed,Case_id,start_state,solution,moves,nodes,time(sec)
97,1,"[0, 1, [[7, 0, 3], [4, 8, 6], [1, 2, 5]]]",1,21,[1239],0.055
97,2,"[1, 2, [[2, 1, 7], [5, 3, 0], [6, 4, 8]]]",0,30,[116523],3.623
97,3,"[0, 0, [[0, 8, 4], [1, 2, 7], [6, 5, 3]]]",0,30,[395369],11.66
97,4,"[0, 1, [[5, 0, 8], [2, 3, 4], [1, 7, 6]]]",0,30,[198912],5.83
97,5,"[2, 1, [[1, 5, 3], [8, 6, 2], [4, 0, 7]]]",0,30,[239101],7.029
97,6,"[1, 2, [[4, 5, 6], [8, 3, 0], [2, 7, 1]]]",1,21,[145],0.004
97,7,"[2, 2, [[1, 2, 3], [7, 4, 8], [6, 5, 0]]]",0,30,[634096],18.577
97,8,"[1, 2, [[7, 1, 3], [2, 4, 0], [5, 6, 8]]]",1,17,[213],0.006
97,9,"[2, 2, [[7, 2, 6], [4, 8, 5], [3, 1, 0]]]",1,26,[2704],0.081
97,10,"[0, 2, [[2, 7, 0], [6, 3, 1], [4, 5, 8]]]",1,22,[613],0.019
